"date","event","observed_cloud","color","actual_quality","predicted_quality","consistency","sky_condition","case_url","map_url","cross_section_url"
"2023-04-09","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304090000_rise.jpg","/static/media/ERA5/上海市_20230409_rise.jpg"
"2023-04-09","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304090000_set.jpg","/static/media/ERA5/上海市_20230409_set.jpg"
"2023-04-10","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304100000_rise.jpg","/static/media/ERA5/上海市_20230410_rise.jpg"
"2023-04-10","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304100000_set.jpg","/static/media/ERA5/上海市_20230410_set.jpg"
"2023-04-11","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304110000_rise.jpg","/static/media/ERA5/上海市_20230411_rise.jpg"
"2023-04-11","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304110000_set.jpg","/static/media/ERA5/上海市_20230411_set.jpg"
"2023-04-12","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304120000_rise.jpg","/static/media/ERA5/上海市_20230412_rise.jpg"
"2023-04-12","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304120000_set.jpg","/static/media/ERA5/上海市_20230412_set.jpg"
"2023-04-13","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304130000_rise.jpg","/static/media/ERA5/上海市_20230413_rise.jpg"
"2023-04-13","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304130000_set.jpg","/static/media/ERA5/上海市_20230413_set.jpg"
"2023-04-14","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304140000_rise.jpg","/static/media/ERA5/上海市_20230414_rise.jpg"
"2023-04-14","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304140000_set.jpg","/static/media/ERA5/上海市_20230414_set.jpg"
"2023-04-15","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304150000_rise.jpg","/static/media/ERA5/上海市_20230415_rise.jpg"
"2023-04-15","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304150000_set.jpg","/static/media/ERA5/上海市_20230415_set.jpg"
"2023-04-16","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304160000_rise.jpg","/static/media/ERA5/上海市_20230416_rise.jpg"
"2023-04-16","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304160000_set.jpg","/static/media/ERA5/上海市_20230416_set.jpg"
"2023-04-17","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304170000_rise.jpg","/static/media/ERA5/上海市_20230417_rise.jpg"
"2023-04-17","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304170000_set.jpg","/static/media/ERA5/上海市_20230417_set.jpg"
"2023-04-18","日出","-","-","基本不烧","大烧","不一致","-","-","/static/media/ERA5/202304180000_rise.jpg","/static/media/ERA5/上海市_20230418_rise.jpg"
"2023-04-18","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304180000_set.jpg","/static/media/ERA5/上海市_20230418_set.jpg"
"2023-04-19","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304190000_rise.jpg","/static/media/ERA5/上海市_20230419_rise.jpg"
"2023-04-19","日落","卷层云","橘黄色,橘色,橘红色","小到中烧","中到大烧","一般","-","https://weibo.com/2670306073/MCJrSuWts
https://weibo.com/5482442738/MCJIRmpLx","/static/media/ERA5/202304190000_set.jpg","/static/media/ERA5/上海市_20230419_set.jpg"
"2023-04-20","日出","-","-","基本不烧","微烧","一般","-","-","/static/media/ERA5/202304200000_rise.jpg","/static/media/ERA5/上海市_20230420_rise.jpg"
"2023-04-20","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304200000_set.jpg","/static/media/ERA5/上海市_20230420_set.jpg"
"2023-04-21","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304210000_rise.jpg","/static/media/ERA5/上海市_20230421_rise.jpg"
"2023-04-21","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304210000_set.jpg","/static/media/ERA5/上海市_20230421_set.jpg"
"2023-04-22","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304220000_rise.jpg","/static/media/ERA5/上海市_20230422_rise.jpg"
"2023-04-22","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304220000_set.jpg","/static/media/ERA5/上海市_20230422_set.jpg"
"2023-04-23","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304230000_rise.jpg","/static/media/ERA5/上海市_20230423_rise.jpg"
"2023-04-23","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304230000_set.jpg","/static/media/ERA5/上海市_20230423_set.jpg"
"2023-04-24","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304240000_rise.jpg","/static/media/ERA5/上海市_20230424_rise.jpg"
"2023-04-24","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304240000_set.jpg","/static/media/ERA5/上海市_20230424_set.jpg"
"2023-04-25","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304250000_rise.jpg","/static/media/ERA5/上海市_20230425_rise.jpg"
"2023-04-25","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304250000_set.jpg","/static/media/ERA5/上海市_20230425_set.jpg"
"2023-04-26","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304260000_rise.jpg","/static/media/ERA5/上海市_20230426_rise.jpg"
"2023-04-26","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304260000_set.jpg","/static/media/ERA5/上海市_20230426_set.jpg"
"2023-04-27","日出","-","-","基本不烧","小烧","不一致","-","-","/static/media/ERA5/202304270000_rise.jpg","/static/media/ERA5/上海市_20230427_rise.jpg"
"2023-04-27","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304270000_set.jpg","/static/media/ERA5/上海市_20230427_set.jpg"
"2023-04-28","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304280000_rise.jpg","/static/media/ERA5/上海市_20230428_rise.jpg"
"2023-04-28","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304280000_set.jpg","/static/media/ERA5/上海市_20230428_set.jpg"
"2023-04-29","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304290000_rise.jpg","/static/media/ERA5/上海市_20230429_rise.jpg"
"2023-04-29","日落","高层云","橘黄色,橘色,橘红色","大烧","大烧","一致","降水线高层云,红虹","https://weibo.com/1969056195/MEgCkt3QZ
https://weibo.com/6881766474/MEm6FzmEm
https://weibo.com/1883437194/MEgdggkpN
https://weibo.com/5619878584/MEfSqjtEU","/static/media/ERA5/202304290000_set.jpg","/static/media/ERA5/上海市_20230429_set.jpg"
"2023-04-30","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304300000_rise.jpg","/static/media/ERA5/上海市_20230430_rise.jpg"
"2023-04-30","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202304300000_set.jpg","/static/media/ERA5/上海市_20230430_set.jpg"
"2023-05-01","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202305010000_rise.jpg","/static/media/ERA5/上海市_20230501_rise.jpg"
"2023-05-01","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202305010000_set.jpg","/static/media/ERA5/上海市_20230501_set.jpg"
"2023-05-02","日出","卷云","橘色","小烧","基本不烧","不一致","-","https://weibo.com/7612166895/MEEwFAbo6
https://weibo.com/5538010841/MECWwk2Sh","/static/media/ERA5/202305020000_rise.jpg","/static/media/ERA5/上海市_20230502_rise.jpg"
"2023-05-02","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202305020000_set.jpg","/static/media/ERA5/上海市_20230502_set.jpg"
"2023-05-03","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202305030000_rise.jpg","/static/media/ERA5/上海市_20230503_rise.jpg"
"2023-05-03","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202305030000_set.jpg","/static/media/ERA5/上海市_20230503_set.jpg"
"2023-05-04","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202305040000_rise.jpg","/static/media/ERA5/上海市_20230504_rise.jpg"
"2023-05-04","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202305040000_set.jpg","/static/media/ERA5/上海市_20230504_set.jpg"
